Country,Total (incl. Bauxite),Iron and Ferro-Alloy Metals,Non-Ferrous Metals,Precious Metals (t),Industrial Minerals (incl. Diam.),Mineral Fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,5038785218,217290602,48477058,3853,173531300,4525182405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2316410664,24939600,3246107,1196,91403393,2196807788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,1612152492,56586173,5503754,1892,37905716,1505442957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1321311762,588202029,4196538,1472,19547182,608886187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1244257269,161046850,5163943,715,59923467,994290588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,800312947,4603000,1236812,396,2534265,763129800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,697561533,351700,875763,21,17396049,673008000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,550100636,42768175,3763117,562,38342554,465226228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,483161516,251992408,1298526,158,17867412,180394318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,457715465,37095990,1264636,57,32065634,386333620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,291567745,57521422,1031594,374,3099445,229914910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,251229451,14561605,1189960,1143,7639912,223660931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,236268370,0,2650000,0,6105000,227513370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,230193350,0,0,0,1340000,228853350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,211554395,0,637975,0,3150000,207766420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,191993369,1359081,1424991,0,250697,188958600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,166835929,86000,341879,7,29267202,137140841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
